"iteration","modelnum","model","random_slope","formula","snp","aic_qic","converged","interaction","beta","p"
7,1,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+time*snp","snp_lb",26855.3175487241,1,"snp:time","-0.0079 (-0.013 - -0.0026)",0.0038
7,2,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+time*snp","snp_lb",26672.5262632822,1,"snp:time","-0.0053 (-0.011 - -2.6e-05)",0.049
7,3,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+age*snp","snp_lb",26641.9987738252,1,"snp:age","-0.0037 (-0.0048 - -0.0027)",8.4e-12
7,4,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp","snp_lb",26811.8142608871,1,"snp:age","-0.0037 (-0.0046 - -0.0027)",4.1e-14
7,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_lb",26821.98644691,1,"snp:age","-0.0036 (-0.0046 - -0.0026)",3.1e-12
7,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_lb",26821.98644691,1,"snp:time","-0.0012 (-0.0069 - 0.0045)",0.68
7,6,"LMM random intercept + slope","time","fev1~snp+time+time*snp+age_baseline+age_c2_baseline","snp_lb",27213.0093799308,0,"snp:time","-0.0084 (-0.014 - -0.0029)",0.0027
8,1,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+time*snp","snp_rd",25848.3021853693,1,"snp:time","-0.014 (-0.019 - -0.0089)",1.5e-07
8,2,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+time*snp","snp_rd",25908.11806367,1,"snp:time","-0.0079 (-0.013 - -0.0026)",0.0033
8,3,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+age*snp","snp_rd",25171.5364476163,1,"snp:age","-0.01 (-0.011 - -0.0093)",7.4e-142
8,4,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp","snp_rd",25163.1488010096,1,"snp:age","-0.01 (-0.011 - -0.0093)",1.3e-158
